ROP_Level,Basic_CNN_Accuracy,Advanced_CNN_Accuracy
-22.0,0.9052618422697163,0.9077615298087739
-22.5,0.8982372796599575,0.9001125140642581
-23.0,0.8881529617595602,0.8906523369157711
-23.5,0.8819852481560195,0.8854856857107138
-24.0,0.8615,0.862
-24.5,0.84525,0.847875
-25.0,0.840125,0.84375
-25.5,0.81775,0.821625
-26.0,0.805375,0.805625
-26.5,0.788875,0.7895
-27.0,0.769625,0.771875
-27.5,0.7477815273090863,0.7499062617172854
-28.0,0.7145536384096024,0.721055263815954
